id_venda,data_venda,cliente,produto,quantidade,preco_unitario,categoria
1,2025/06/01,Fernanda Lima,iPhone 13,5,5500.0,Eletrônicos
2,2025-05-02,João Souza,Caderno,1,25.0,Papelaria
3,04-04-2025,Maria Silva,Notebook Dell,2,3500.0,Eletrônicos
4,21-06-2025,Fernanda Lima,Caderno,1,25.0,Papelaria
5,15-09-2025,Fernanda Lima,Mouse Gamer,3,200.0,Eletrônicos
6,22-01-2025,Fernanda Lima,Caderno,5,25.0,Papelaria
7,2025/05/22,Fernanda Lima,Caneta Azul,3,2.5,Papelaria
8,2025/01/22,Pedro Costa,Mochila,1,150.0,Acessórios
9,07-09-2025,Maria Silva,Luminária,1,60.0,Utilidades
10,2025-02-03,Pedro Costa,Notebook Dell,2,3500.0,Eletrônicos
11,2025/12/27,Ana Pereira,Monitor LG,2,1200.0,Eletrônicos
12,20-05-2025,Pedro Costa,Garrafa Térmica,5,80.0,Utilidades
13,2025/02/18,,Monitor LG,5,-1200.0,Eletrônicos
14,2025-12-03,Maria Silva,Impressora HP,4,900.0,Eletrônicos
15,2025-02-23,Maria Silva,Luminária,4,-60.0,Utilidades
16,2025/01/21,Ana Pereira,Luminária,1,60.0,Utilidades
17,2025-11-05,Fernanda Lima,Impressora HP,1,900.0,Eletrônicos
18,2025-02-12,Maria Silva,Caneta Azul,2,2.5,Papelaria
19,2025-08-03,Fernanda Lima,Luminária,2,60.0,Utilidades
20,26-09-2025,Maria Silva,iPhone 13,3,5500.0,Eletrônicos
21,2025/09/24,Maria Silva,Monitor LG,2,1200.0,
22,2025/03/01,Ana Pereira,Luminária,2,60.0,Utilidades
23,2025/10/11,Ana Pereira,Caneta Azul,4,2.5,Papelaria
24,2025-04-15,Maria Silva,Luminária,4,60.0,Utilidades
25,2025-07-23,Pedro Costa,iPhone 13,3,5500.0,Eletrônicos
26,2025-06-07,,iPhone 13,4,5500.0,Eletrônicos
27,08-05-2025,Maria Silva,Caneta Azul,4,2.5,Papelaria
28,2025-07-01,Fernanda Lima,Impressora HP,1,900.0,Eletrônicos
29,20-04-2025,,Caderno,4,25.0,Papelaria
30,2025/10/06,,Garrafa Térmica,3,80.0,Utilidades
31,15-02-2025,Pedro Costa,Monitor LG,5,1200.0,Eletrônicos
32,2025-07-12,Maria Silva,Caderno,2,25.0,Papelaria
33,16-05-2025,João Souza,Impressora HP,4,900.0,Eletrônicos
34,2025/11/14,Pedro Costa,Luminária,3,60.0,Utilidades
35,2025/03/22,Fernanda Lima,Mochila,3,150.0,Acessórios
36,2025/02/03,Pedro Costa,Luminária,1,60.0,Utilidades
37,2025/04/07,,iPhone 13,1,5500.0,Eletrônicos
38,06-06-2025,Maria Silva,Monitor LG,1,1200.0,Eletrônicos
39,24-01-2025,Pedro Costa,Caneta Azul,4,2.5,Papelaria
40,2025-10-05,João Souza,Mochila,1,150.0,Acessórios
41,24-08-2025,,iPhone 13,2,5500.0,Eletrônicos
42,2025/05/02,Fernanda Lima,Mochila,2,150.0,Acessórios
43,2025-06-09,Fernanda Lima,Monitor LG,2,1200.0,Eletrônicos
44,2025-02-18,Maria Silva,iPhone 13,5,5500.0,Eletrônicos
45,06-01-2025,,Garrafa Térmica,5,80.0,Utilidades
46,2025-02-03,Fernanda Lima,Caderno,2,-25.0,Papelaria
47,2025-09-09,Fernanda Lima,Caderno,1,25.0,Papelaria
48,20-05-2025,,Caderno,5,25.0,Papelaria
49,13-03-2025,Pedro Costa,Notebook Dell,5,-3500.0,Eletrônicos
50,2025/04/01,Ana Pereira,iPhone 13,três,5500.0,Eletrônicos
51,2025-10-13,Maria Silva,Notebook Dell,1,3500.0,Eletrônicos
52,27-08-2025,Ana Pereira,Garrafa Térmica,4,80.0,Utilidades
53,2025/04/26,,Mouse Gamer,três,200.0,Eletrônicos
54,21-05-2025,João Souza,Notebook Dell,3,3500.0,
55,02-07-2025,Fernanda Lima,Monitor LG,3,1200.0,Eletrônicos
56,2025-11-19,João Souza,Monitor LG,4,1200.0,Eletrônicos
57,2025/07/13,Pedro Costa,Luminária,1,60.0,Utilidades
58,2025/10/02,Pedro Costa,Caneta Azul,5,2.5,Papelaria
59,21-07-2025,Pedro Costa,Caneta Azul,4,2.5,Papelaria
60,2025/12/19,,Mochila,1,150.0,Acessórios
61,2025/01/07,,Mouse Gamer,3,200.0,Eletrônicos
62,19-01-2025,Ana Pereira,Mouse Gamer,3,200.0,Eletrônicos
63,18-07-2025,Fernanda Lima,Mouse Gamer,2,200.0,Eletrônicos
64,2025/07/11,João Souza,Impressora HP,1,900.0,Eletrônicos
65,2025-07-05,João Souza,Impressora HP,2,900.0,
66,2025/06/04,Pedro Costa,Notebook Dell,1,3500.0,Eletrônicos
67,2025-11-04,João Souza,iPhone 13,3,5500.0,Eletrônicos
68,2025/06/27,Pedro Costa,Impressora HP,3,900.0,Eletrônicos
69,2025/10/03,Fernanda Lima,Notebook Dell,2,3500.0,Eletrônicos
